Category,Delta Q,Delta SST,Fractional Julian Days,Julian Days,Key,Latitude,Longitude,Maximum Wind Speed,Minimum Pressure,Mixed Layer Depth,Name,Predicted Wind,Record Identifiers,Status Values,Storm Classification,Year
,0.0017376515295806153,0.12997437,153.5,154,ALBERTO1982,21.7,272.9,20,1005,18.332943,ALBERTO,1.396482862460885,,2,TD,1982
,0.002330854512851664,0.6199951,153.75,154,ALBERTO1982,22.2,273.5,25,1004,25.767477,ALBERTO,6.979967577682525,,2,TD,1982
,0.002654293090878536,1.7600098,154.0,154,ALBERTO1982,22.6,274.2,30,1003,25.767477,ALBERTO,17.399890037218704,,2,TD,1982
,0.0031583475110834626,0.7200012,154.25,155,ALBERTO1982,22.8,275.0,40,1001,25.767477,ALBERTO,5.982099357174268,,3,TS,1982
,0.0032602387989568923,-0.73999023,154.5,155,ALBERTO1982,23.2,275.8,50,995,20.434366,ALBERTO,-4.723306785224346,,3,TS,1982
1.0,0.003925967443061548,0.38998413,154.75,155,ALBERTO1982,24.0,276.4,75,985,20.434366,ALBERTO,2.067139658055828,,4,HU,1982
1.0,0.0038407843211655003,1.8699951,155.0,155,ALBERTO1982,24.8,276.6,65,992,20.434366,ALBERTO,10.131882160529807,,4,HU,1982
,0.0039199367422536775,0.06997681,155.25,156,ALBERTO1982,24.9,275.9,55,998,20.434366,ALBERTO,0.37148787100197983,,3,TS,1982
,0.003990128143872049,-0.42001343,155.5,156,ALBERTO1982,24.9,275.2,45,1002,20.434366,ALBERTO,-2.190513374409552,,3,TS,1982
,0.003948170155195146,0.06997681,155.75,156,ALBERTO1982,25.0,275.8,40,1005,20.434366,ALBERTO,0.36883135670485795,,3,TS,1982
,0.003524142783812554,0.2999878,156.0,156,ALBERTO1982,25.1,275.9,30,1007,16.901806,ALBERTO,1.4651820901953108,,2,TD,1982
,0.0035840153584711827,0.54000854,156.25,157,ALBERTO1982,25.2,276.0,25,1008,16.901806,ALBERTO,2.593416588222523,,2,TD,1982
,0.003332264544277569,0.9700012,156.5,157,ALBERTO1982,25.3,276.1,25,1009,16.901806,ALBERTO,5.010422201098669,,2,TD,1982
,0.003333833067218763,1.1499939,156.75,157,ALBERTO1982,25.4,276.4,25,1010,16.901806,ALBERTO,5.937357506377904,,2,TD,1982
,0.0033448127278071123,1.2400208,157.0,157,ALBERTO1982,25.5,276.7,25,1010,16.901806,ALBERTO,6.381145693785668,,2,TD,1982
